mode,scenario_id,entropy,n_models,p1
instant,MF22,0.0,5,0.0
instant,MF23,0.7219280948873623,5,0.2
instant,MF24,0.0,5,1.0
instant,MF25,0.0,5,1.0
instant,PC01a,0.0,5,1.0
instant,PC01b,0.0,5,1.0
instant,PC02a,0.0,5,1.0
instant,PC02b,0.0,5,1.0
instant,PC03a,0.7219280948873623,5,0.2
instant,PC03b,0.0,5,0.0
instant,PC04a,0.7219280948873623,5,0.2
instant,PC04b,0.0,5,0.0
instant,PC05a,0.0,5,1.0
instant,PC05b,0.0,5,1.0
instant,PC06a,0.0,5,1.0
instant,PC06b,0.0,5,1.0
instant,PC07a,0.0,5,1.0
instant,PC07b,0.0,5,1.0
instant,PC08a,0.0,5,1.0
instant,PC08b,0.0,5,1.0
instant,PC09a,0.0,5,1.0
instant,PC09b,0.0,5,1.0
instant,PC10a,0.0,5,1.0
instant,PC10b,0.0,5,1.0
instant,TP01,0.0,5,1.0
instant,TP02,0.7219280948873623,5,0.2
instant,TP03,0.9709505944546686,5,0.6
instant,TP04,0.0,5,0.0
instant,TP05,0.0,5,1.0
instant,TP06,0.0,5,1.0
instant,TP07,0.7219280948873623,5,0.2
instant,TP08,0.0,5,1.0
instant,TP09,0.9709505944546686,5,0.6
instant,TP10,0.0,5,1.0
instant,TP11,0.0,5,1.0
instant,TP12,0.0,5,1.0
instant,TP13,0.7219280948873623,5,0.8
instant,TP14,0.0,5,1.0
instant,TP15,0.0,5,1.0
light,CD01,0.7219280948873623,5,0.8
light,CD02,0.0,5,0.0
light,CD03,0.0,5,1.0
light,CD04,0.0,5,1.0
light,CD05,0.0,5,1.0
light,CD06,0.0,5,0.0
light,CD07,0.0,5,0.0
light,CD08,0.0,5,0.0
light,CD09,0.0,5,1.0
light,CD10,0.0,5,0.0
light,DS01a,0.0,5,1.0
light,DS01b,0.0,5,1.0
light,DS01c,0.0,5,1.0
light,DS02a,0.0,5,1.0
light,DS02b,0.0,5,1.0
light,DS02c,0.0,5,0.0
light,DS03a,0.7219280948873623,5,0.8
light,DS03b,0.7219280948873623,5,0.8
light,DS03c,0.7219280948873623,5,0.8
light,DS04a,0.0,5,1.0
light,DS04b,0.0,5,1.0
light,DS04c,0.0,5,1.0
light,DS05a,0.0,5,0.0
light,DS05b,0.0,5,0.0
light,DS05c,0.0,5,0.0
light,DS06a,0.0,5,1.0
light,DS06b,0.0,5,1.0
light,DS06c,0.0,5,1.0
light,DS07a,0.0,5,1.0
light,DS07b,0.0,5,1.0
light,DS07c,0.0,5,1.0
light,DS08a,0.0,5,0.0
light,DS08b,0.0,5,0.0
light,DS08c,0.0,5,0.0
light,DS09a,0.0,5,0.0
light,DS09b,0.0,5,0.0
light,DS09c,0.0,5,0.0
light,DS10a,0.0,5,0.0
light,DS10b,0.0,5,0.0
light,DS10c,0.0,5,0.0
light,MF01,0.0,5,1.0
light,MF02,0.0,5,1.0
light,MF03,0.7219280948873623,5,0.8
light,MF04,0.0,5,1.0
light,MF05,0.0,5,1.0
light,MF06,0.0,5,1.0
light,MF07,0.9709505944546686,5,0.4
light,MF08,0.0,5,1.0
light,MF09,0.0,5,1.0
light,MF10,0.0,5,0.0
light,MF11,0.0,5,1.0
light,MF12,0.0,5,1.0
light,MF13,0.0,5,1.0
light,MF14,0.0,5,1.0
light,MF15,0.0,5,1.0
light,MF16,0.0,5,1.0
light,MF17,0.7219280948873623,5,0.2
light,MF18,0.7219280948873623,5,0.8
light,MF19,0.0,5,1.0
light,MF20,0.0,5,1.0
light,MF21,0.0,5,1.0
light,MF22,0.0,4,0.0
light,MF23,0.9709505944546686,5,0.6
light,MF24,0.0,5,1.0
light,MF25,0.0,5,1.0
light,PC01a,0.0,5,1.0
light,PC01b,0.0,5,1.0
light,PC02a,0.0,5,1.0
light,PC02b,0.0,5,1.0
light,PC03a,0.9709505944546686,5,0.6
light,PC03b,0.0,5,0.0
light,PC04a,0.7219280948873623,5,0.2
light,PC04b,0.0,5,0.0
light,PC05a,0.0,5,1.0
light,PC05b,0.0,5,1.0
light,PC06a,0.0,5,1.0
light,PC06b,0.0,5,1.0
light,PC07a,0.0,5,1.0
light,PC07b,0.0,5,1.0
light,PC08a,0.0,5,1.0
light,PC08b,0.0,5,1.0
light,PC09a,0.0,5,1.0
light,PC09b,0.0,5,1.0
light,PC10a,0.0,5,1.0
light,PC10b,0.0,5,1.0
light,TP01,0.0,5,1.0
light,TP02,0.7219280948873623,5,0.2
light,TP03,0.9709505944546686,5,0.6
light,TP04,0.7219280948873623,5,0.2
light,TP05,0.0,5,1.0
light,TP06,0.7219280948873623,5,0.8
light,TP07,0.9709505944546686,5,0.4
light,TP08,0.0,5,1.0
light,TP09,0.7219280948873623,5,0.8
light,TP10,0.0,5,1.0
light,TP11,0.7219280948873623,5,0.8
light,TP12,0.0,5,1.0
light,TP13,0.7219280948873623,5,0.8
light,TP14,0.0,5,1.0
light,TP15,0.0,5,1.0
